ชื่อ,คำอ่าน,ความหมาย
ฏานัณณ,ตา-นัน,ผู้มีความมุ่งมั่น
ฏานัณน,ตา-นัน-นะ,ผู้มีความมุ่งมั่น
ฏานัณม,ตา-นัน-มะ,ผู้มีความมุ่งมั่น
ฏานัณห,ตา-นัน-หั,ผู้มีความมุ่งมั่น
ฏานัณฬ,ตา-นัน,ผู้มีความมุ่งมั่น
ฏานัณฮ,ตา-นัน-ฮะ,ผู้มีความมุ่งมั่น
ฏานันฉ,ตา-นัน-ฉอน,ผู้มีความมุ่งมั่น
ฏานันฌ,ตา-นัน-ชะ-สุ,ผู้มีความมุ่งมั่น
ฏานันณ,ตา-นัน,ผู้มีความมุ่งมั่น
ฏานันน,ตา-นัน-นะ,ผู้มีความมุ่งมั่น
ฏานันม,ตา-นัน-มะ-ไน,ผู้มีความมุ่งมั่น
ฏานันห,ตา-นัน-หะ,ผู้มีความมุ่งมั่น
ฏานันฬ,ตา-นัน-ละ,ผู้มีความมุ่งมั่น
ฏานันฮ,ตา-นัน-ฮะ,ผู้มีความมุ่งมั่น
ฏานัมฉ,ตา-รัน-ฉอ,ผู้มีความมุ่งมั่น
ฏานัมฌ,ตา-นะ-มัด,ผู้มีความมุ่งมั่น
ฏานัมณ,ตา-นัม-นะ,ผู้มีความมุ่งมั่น
ฏานัมน,ตา-นัม-นน,ผู้มีความมุ่งมั่น
ฏานัมม,ตา-นัม-มะ,ผู้มีความมุ่งมั่น
ฏานัมห,ตำ-หนัม-หอ,ผู้มีความมุ่งมั่น
ฏานัมฬ,ตา-นัม-ลอน,ผู้มีความมุ่งมั่น
ฏานัมฮ,ตา-นัม-ฮอ,ผู้มีความมุ่งมั่น
ฏานัหฉ,ตา-นัด-ฉั,ผู้มีความมุ่งมั่น
ฏานัหฌ,ตา-นัด-หัด,ผู้มีความมุ่งมั่น
ฏานัหณ,ตา-นัด-หน,ผู้มีความมุ่งมั่น
ฏานัหน,ตา-นั่น,ผู้มีความมุ่งมั่น
ฏานัหม,ตา-นั่-หม,ผู้มีความมุ่งมั่น
ฏานัหห,ตา-นัด-หั่,ผู้มีความมุ่งมั่น
ฏานัหฬ,ตา-นา-หัน,ผู้มีความมุ่งมั่น
ฏานัหฮ,ตา-นัด-หั้,ผู้มีความมุ่งมั่น
ฏานัฬณ,ตา-นัน,ผู้มีความมุ่งมั่น
ฏานัฬน,ตา-นัน,ผู้มีความมุ่งมั่น
ฏานัฬม,ตา-นัน-ลม,ผู้มีความมุ่งมั่น
ฏานัฬห,ตา-นัน-หะ,ผู้มีความมุ่งมั่น
ฏานิฉฉ,ตา-นิ-ฉอน,ผู้มีความสุข
ฏานิฉฌ,ตา-นิด-ชะ-สะ,ผู้มีความสุข
ฏานิฉณ,ตา-นิ-ฉะ-หน,ผู้มีความสุข
ฏานิฉน,ตา-นิ-ฉน,ผู้มีความสุข
ฏานิฉม,ตา-นิด-ไม,ผู้มีความสุข
ฏานิฉห,ตา-นิด-หะ,ผู้มีความสุข
ฏานิฉฬ,ตา-นิ-ฉอน,ผู้มีความสุข
ฏานิฉฮ,ตา-นิ-ฮด,ผู้มีความสุข
ฏานิฌฉ,ตา-นิด-ฉะ,ผู้มีความสุข
ฏานิฌฌ,ตา-นิด,ผู้มีความสุข
ฏานิฌณ,ตา-นิด,ผู้มีความสุข
ฏานิฌน,ตา-นิ-ชน,ผู้มีความสุข
ฏานิฌม,ตา-นิ-ชม,ผู้มีความสุข
ฏานิฌห,ตา-นิด-หะ,ผู้มีความสุข
ฏานิฌฬ,ตา-นิ-ชน,ผู้มีความสุข
ฏานิฌฮ,ตา-นิ-ฮด,ผู้มีความสุข
ฏานิณฉ,ตา-นิน-ฉะ,ผู้มีความสุข
ฏานิณฌ,ตา-นิน-ชน,ผู้มีความสุข
ฏานิณณ,ตา-นิ-นน,ผู้มีความสุข
ฏานิณน,ตา-นิน,ผู้มีความสุข
ฏานิณม,ตา-นิน-มะ,ผู้มีความสุข
ฏานิณห,ตา-นิน-หะ,ผู้มีความสุข
ฏานิณฬ,ตา-นิน,ผู้มีความสุข
ฏานิณฮ,ตา-นิ-ฮิน,ผู้มีความสุข
ฏานินฉ,ตา-นิน-ฉอ,ผู้มีความสุข
ฏานินฌ,ตา-นิน-ชน,ผู้มีความสุข
ฏานินณ,ตา-นิน,ผู้มีความสุข
ฏานินน,ตา-นิน,ผู้มีความสุข
ฏานินม,ตา-นิน-มะ,ผู้มีความสุข
ฏานินห,ตา-นิน-หน,ผู้มีความสุข
ฏานินฬ,ตา-ริน,ผู้มีความสุข
ฏานินฮ,ตา-นิน-ฮะ,ผู้มีความสุข
ฏานิมฉ,ตาน-มิด,ผู้มีความสุข
ฏานิมฌ,ตาน-มิด,ผู้มีความสุข
ฏานิมณ,ตา-นิ-มน,ผู้มีความสุข
ฏานิมน,ตา-นิ-มน,ผู้มีความสุข
ฏานิมม,ตา-นิ-มม,ผู้มีความสุข
ฏานิมห,ตา-นิ-หม,ผู้มีความสุข
ฏานิมฬ,ตา-นิ-ยม,ผู้มีความสุข
ฏานิมฮ,ตา-นิม-ฮอ,ผู้มีความสุข
ฏานิหฉ,ตา-นิ-หะ-ฉะ,ผู้มีความสุข
ฏานิหฌ,ตา-นิ-หะ-ดิ,ผู้มีความสุข
ฏานิหณ,ตา-นิ-หะ-นะ,ผู้มีความสุข
ฏานิหน,ตา-นิ-หน,ผู้มีความสุข
ฏานิหม,ตา-นิ-หม,ผู้มีความสุข
ฏานิหห,ตา-นิ-หะ,ผู้มีความสุข
ฏานิหฬ,ตา-หลิ-หน,ผู้มีความสุข
ฏานิหฮ,ตา-หนิ-ห,ผู้มีความสุข
ฏานิฬฉ,ตา-ริน-ฉะ,ผู้มีความสุข
ฏานิฬฌ,ตา-นิ-ชน,ผู้มีความสุข
